Name	Mult
NUCLEAR	5.000000
CCGT	19.500000
CCGT_CCS	10.500000
COAL_US	8.000000
COAL_IGCC	9.000000
COAL_US_CCS	0.000000
COAL_IGCC_CCS	5.500000
PV	32.900001
WIND	18.102000
HYDRO_DAM	24.240000
NEW_HYDRO_DAM	0.000000
HYDRO_RIVER	11.400000
NEW_HYDRO_RIVER	0.000000
GEOTHERMAL	1.704000
IND_COGEN_WOOD	3.420000
IND_COGEN_GAS	0.000000
IND_COGEN_WASTE	0.000000
IND_BOILER_GAS	0.000000
IND_BOILER_WOOD	0.000000
IND_BOILER_OIL	0.000000
IND_BOILER_COAL	0.000000
IND_BOILER_WASTE	0.000000
IND_DIRECT_ELEC	0.000000
DHN_HP_ELEC	0.000000
DHN_COGEN_GAS	0.000000
DHN_COGEN_WOOD	0.000000
DHN_COGEN_WASTE	0.000000
DHN_BOILER_GAS	0.000000
DHN_BOILER_WOOD	0.000000
DHN_BOILER_OIL	0.000000
DHN_DEEP_GEO	0.000000
DEC_HP_ELEC	0.000000
DEC_THHP_GAS	0.000000
DEC_COGEN_GAS	0.000000
DEC_COGEN_OIL	0.000000
DEC_ADVCOGEN_GAS	0.000000
DEC_ADVCOGEN_H2	0.000000
DEC_BOILER_GAS	0.000000
DEC_BOILER_WOOD	0.000000
DEC_BOILER_OIL	0.000000
DEC_SOLAR	0.000000
DEC_DIRECT_ELEC	0.000000
TRAMWAY_TROLLEY	0.000000
BUS_COACH_DIESEL	0.000000
BUS_COACH_HYDIESEL	0.000000
BUS_COACH_CNG_STOICH	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000
TRAIN_PUB	0.000000
CAR_GASOLINE	0.000000
CAR_DIESEL	0.000000
CAR_NG	0.000000
CAR_HEV	0.000000
CAR_PHEV	0.000000
CAR_BEV	0.000000
CAR_FUEL_CELL	0.000000
TRAIN_FREIGHT	0.920000
TRUCK	0.920000
PUMPED_HYDRO	0.000000
POWER2GAS	0.000000
EFFICIENCY	0.968851
DHN	0.000000
GRID	1.143708
POWER2GAS_1	0.000000
POWER2GAS_2	0.000000
POWER2GAS_3	0.000000
H2_ELECTROLYSIS	0.000000
H2_NG	0.000000
H2_BIOMASS	0.000000
GASIFICATION_SNG	0.000000
PYROLYSIS	0.000000
