Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	187.465800	0.000000
CCGT_CCS	0.000000	0.000000
COAL_US	108.954286	0.000000
COAL_IGCC	99.480000	0.000000
COAL_US_CCS	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000
PV	1633.090145	0.000000
WIND	395.291753	0.000000
HYDRO_DAM	1025.885280	0.000000
NEW_HYDRO_DAM	0.000000	0.000000
HYDRO_RIVER	359.903700	0.000000
NEW_HYDRO_RIVER	0.000000	0.000000
GEOTHERMAL	963.924813	0.000000
IND_COGEN_GAS	0.000000	0.000000
IND_COGEN_WOOD	15.342624	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.000000	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	2.159598	0.000000
IND_BOILER_WASTE	1.968255	0.000000
IND_DIRECT_ELEC	0.000000	0.000000
DHN_HP_ELEC	15.933856	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	1.405929	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	3.623529	0.000000
DHN_DEEP_GEO	21.081677	0.000000
DEC_HP_ELEC	78.385317	0.000000
DEC_THHP_GAS	65.362354	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	4.246211	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	2.123105	0.000000
DEC_SOLAR	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK	0.000000	0.000000
PUMPED_HYDRO	0.000000	0.000000
POWER2GAS	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
POWER2GAS_1	0.000000	0.000000
POWER2GAS_2	0.000000	0.000000
POWER2GAS_3	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	2607.023236
DIESEL	0.000000	4358.078322
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	536.296714
LNG	0.000000	0.000000
NG	0.000000	31600.721676
NG_CCS	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	0.000000	144.892200
COAL	0.000000	133099.298318
COAL_CCS	0.000000	0.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	1672.414200
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
