Name	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR	4.000000	4.000000	4.000000	3.987436	2.563163	1.337610	1.380716	3.533172	4.000000	4.000000	4.000000	4.000000
CCGT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CCGT_CCS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_US_CCS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PV	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WIND	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HYDRO_DAM	2.028080	2.044240	1.519040	1.292800	1.712960	2.254320	2.165440	2.092720	2.327040	1.712960	1.753360	1.826080
NEW_HYDRO_DAM	0.110440	0.111320	0.082720	0.070400	0.093280	0.122760	0.117920	0.113960	0.126720	0.093280	0.095480	0.099440
HYDRO_RIVER	1.147600	1.007000	1.170400	1.656800	2.363600	2.910800	2.926000	2.709400	2.082400	1.428800	1.322400	1.299600
NEW_HYDRO_RIVER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_GAS	1.036729	1.099609	1.099609	0.845408	0.845408	1.099609	1.099609	1.099609	1.099609	1.099609	1.012534	1.099609
IND_BOILER_WOOD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_WASTE	1.134676	1.071795	1.071795	1.158870	1.158870	0.904668	0.904668	0.904668	0.904668	1.071795	1.158870	1.071795
IND_DIRECT_ELEC	0.000000	0.000000	0.000000	0.167126	0.167126	0.167126	0.167126	0.167126	0.167126	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.808000	0.808000	0.808000	0.121464	0.000000	0.000000	0.000000	0.000000	0.000000	0.540502	0.808000	0.808000
DHN_COGEN_GAS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.533174	0.420530	0.118092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.124064	0.688000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.276000	0.276000	0.276000	0.276000	0.154436	0.154436	0.154436	0.154436	0.266427	0.276000	0.276000	0.276000
